seed,step,n_live,mse
0,0,200,0.03134579956531525
0,1,200,0.03375956788659096
0,2,200,0.03430955857038498
0,3,200,0.043774113059043884
0,4,200,0.04657094180583954
0,5,200,0.04368585720658302
0,6,200,0.05942293256521225
0,7,200,0.053476616740226746
0,8,200,0.050106219947338104
0,9,200,0.060501452535390854
0,10,200,0.05688030272722244
0,11,200,0.06236131489276886
0,12,200,0.06404609978199005
0,13,200,0.061107415705919266
0,14,200,0.06965641677379608
0,15,200,0.08494813740253448
0,16,200,0.07111014425754547
0,17,200,0.066635861992836
0,18,200,0.07037006318569183
0,19,200,0.0694996640086174
0,20,200,0.06496376544237137
0,21,200,0.06460991501808167
0,22,200,0.07220401614904404
0,23,200,0.06512882560491562
0,24,200,0.05606341361999512
0,25,200,0.057390861213207245
0,26,200,0.06339109688997269
0,27,200,0.06489741802215576
0,28,200,0.03746841102838516
0,29,200,0.052749425172805786
0,30,200,0.06906206160783768
0,31,200,0.049557704478502274
0,32,200,0.0521351620554924
0,33,200,0.03569817915558815
0,34,200,0.04725020378828049
0,35,200,0.04608270525932312
0,36,200,0.04023951664566994
0,37,200,0.05649788677692413
0,38,200,0.05390026047825813
0,39,200,0.04034961760044098
0,40,200,0.03556665778160095
0,41,200,0.044756218791007996
0,42,200,0.048490554094314575
0,43,200,0.03355156630277634
0,44,200,0.05605209246277809
0,45,200,0.054939936846494675
0,46,200,0.0606745146214962
0,47,200,0.04350832849740982
0,48,200,0.040892887860536575
0,49,200,0.04094944894313812
0,50,200,0.034084808081388474
0,51,200,0.03525732830166817
0,52,200,0.05047870799899101
0,53,200,0.050866566598415375
0,54,199,0.06273116916418076
0,55,198,0.03343554213643074
0,56,198,0.03586524352431297
0,57,198,0.039224158972501755
0,58,198,0.05544820800423622
0,59,198,0.034752894192934036
0,60,197,0.04650099575519562
0,61,197,0.0687725841999054
0,62,197,0.05916330963373184
0,63,197,0.044196780771017075
0,64,196,0.045611001551151276
0,65,196,0.049542032182216644
0,66,196,0.040546927601099014
0,67,196,0.040681395679712296
0,68,196,0.041989389806985855
0,69,196,0.02868671528995037
0,70,195,0.04403377324342728
0,71,195,0.023372672498226166
0,72,195,0.04708719626069069
0,73,194,0.03449195623397827
0,74,194,0.05526110157370567
0,75,194,0.04217105731368065
0,76,194,0.05899640545248985
0,77,193,0.061988554894924164
0,78,193,0.06063714623451233
0,79,193,0.057760998606681824
0,80,193,0.04866308346390724
0,81,193,0.05905475467443466
0,82,191,0.043100133538246155
0,83,191,0.053828999400138855
0,84,190,0.05239086598157883
0,85,189,0.04100189730525017
0,86,189,0.04223517328500748
0,87,189,0.0414411723613739
0,88,189,0.03889690712094307
0,89,189,0.04397952929139137
0,90,189,0.05539698153734207
0,91,189,0.04288296028971672
0,92,189,0.053328368812799454
0,93,188,0.06515559554100037
0,94,188,0.0731622651219368
0,95,187,0.07710514217615128
0,96,187,0.05914190039038658
0,97,186,0.0626121237874031
0,98,186,0.07265037298202515
0,99,184,0.06616059690713882
0,100,184,0.06361044943332672
0,101,183,0.04738475754857063
0,102,182,0.0424162782728672
0,103,182,0.04786871746182442
0,104,182,0.04246748238801956
0,105,182,0.05327463522553444
0,106,182,0.06112310290336609
0,107,182,0.05647959187626839
0,108,181,0.06220315024256706
0,109,181,0.07121115922927856
1,0,200,0.03176262974739075
1,1,200,0.03393055126070976
1,2,200,0.040509652346372604
1,3,200,0.049598705023527145
1,4,200,0.0484599769115448
1,5,200,0.05856122076511383
1,6,200,0.055912286043167114
1,7,200,0.055126041173934937
1,8,200,0.06931404024362564
1,9,200,0.06965592503547668
1,10,200,0.06465499103069305
1,11,200,0.09465121477842331
1,12,200,0.12409387528896332
1,13,200,0.09716285765171051
1,14,200,0.09921516478061676
1,15,199,0.10430245101451874
1,16,198,0.10927820950746536
1,17,198,0.08851879835128784
1,18,198,0.11509270966053009
1,19,198,0.12287307530641556
1,20,198,0.11353878676891327
1,21,196,0.11272687464952469
1,22,192,0.09781976789236069
1,23,192,0.1003125011920929
1,24,191,0.11673035472631454
1,25,191,0.10984544456005096
1,26,190,0.11406230181455612
1,27,187,0.09405852109193802
1,28,187,0.09761475026607513
1,29,187,0.08706797659397125
1,30,185,0.10146430879831314
1,31,184,0.08600831031799316
1,32,183,0.0771670937538147
1,33,182,0.11690688878297806
1,34,182,0.09839187562465668
1,35,182,0.09821745753288269
1,36,178,0.09751077741384506
1,37,176,0.10524061322212219
1,38,175,0.09632459282875061
1,39,175,0.09851467609405518
1,40,172,0.07400715351104736
1,41,169,0.09016599506139755
1,42,167,0.09560589492321014
1,43,165,0.1047900840640068
1,44,165,0.07929626852273941
1,45,163,0.07857135683298111
1,46,162,0.0935765951871872
1,47,162,0.08795212209224701
1,48,161,0.10557626932859421
1,49,160,0.07872524112462997
1,50,157,0.11106864362955093
1,51,157,0.07992883026599884
1,52,155,0.07701220363378525
1,53,154,0.07178611308336258
1,54,152,0.0766075924038887
1,55,152,0.05130738765001297
1,56,150,0.06660585850477219
1,57,148,0.08480880409479141
1,58,148,0.07713356614112854
1,59,148,0.08832579851150513
1,60,147,0.08557698875665665
1,61,147,0.07461383193731308
1,62,147,0.09552152454853058
1,63,146,0.0833253338932991
1,64,144,0.08189322799444199
1,65,143,0.10974178463220596
1,66,142,0.10847591608762741
1,67,142,0.0938037857413292
1,68,140,0.10523365437984467
1,69,139,0.09803546965122223
1,70,137,0.07809373736381531
1,71,134,0.07525821030139923
1,72,134,0.08720885962247849
1,73,131,0.08093751221895218
1,74,130,0.08769809454679489
1,75,130,0.06620311737060547
1,76,130,0.07696374505758286
1,77,130,0.07706046104431152
1,78,128,0.08921898901462555
1,79,128,0.0920068547129631
