"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"mlp","inconsistent_strategy","0.75","2","12347","16931","0.263104","0.695","0.0629","0.0"
"mlp","inconsistent_strategy","0.9","2","12347","17816","0.29926","0.255","0.105","0.0"
"mlp","inconsistent_strategy","1.0","2","12347","18955","0.335584","0.245","0.1684","0.0"
"mlp","occlusion","0.0","0","12345","12526","0.122962","0.965","0.0534","0.015"
"mlp","accidental_success","0.0","0","12345","12526","0.122962","0.965","0.0534","0.015"
"mlp","flailing","0.0","0","12345","12526","0.122962","0.965","0.0534","0.015"
"mlp","truncation","0.0","0","12345","12526","0.122962","0.965","0.0534","0.015"
"mlp","inconsistent_strategy","0.0","0","12345","12526","0.122962","0.965","0.0534","0.015"
"mlp","occlusion","0.0","1","12346","12174","0.120638","0.975","0.0483","0.005"
"mlp","accidental_success","0.0","1","12346","12174","0.120638","0.975","0.0483","0.005"
"mlp","flailing","0.0","1","12346","12174","0.120638","0.975","0.0483","0.005"
"mlp","truncation","0.0","1","12346","12174","0.120638","0.975","0.0483","0.005"
"mlp","inconsistent_strategy","0.0","1","12346","12174","0.120638","0.975","0.0483","0.005"
"mlp","occlusion","0.0","2","12347","11972","0.12462","0.955","0.0542","0.005"
"mlp","accidental_success","0.0","2","12347","11972","0.12462","0.955","0.0542","0.005"
"mlp","flailing","0.0","2","12347","11972","0.12462","0.955","0.0542","0.005"
"mlp","truncation","0.0","2","12347","11972","0.12462","0.955","0.0542","0.005"
"mlp","inconsistent_strategy","0.0","2","12347","11972","0.12462","0.955","0.0542","0.005"
"mlp","clean","0.0","3","12348","12227","0.120135","0.935","0.0625","0.0"
"mlp","occlusion","0.25","3","12348","12408","0.141063","0.905","0.0734","0.01"
"mlp","occlusion","0.5","3","12348","12178","0.152536","0.91","0.0714","0.01"
"mlp","occlusion","0.75","3","12348","11996","0.174179","0.835","0.0925","0.02"
"mlp","occlusion","0.9","3","12348","11859","0.182229","0.86","0.0904","0.035"
"mlp","occlusion","1.0","3","12348","12138","0.192253","0.885","0.0826","0.025"
"mlp","accidental_success","0.25","3","12348","10794","0.140395","0.88","0.0809","0.015"
"mlp","accidental_success","0.5","3","12348","9017","0.16103","0.965","0.0499","0.02"
"mlp","accidental_success","0.75","3","12348","7636","0.221441","0.955","0.0525","0.02"
"mlp","accidental_success","0.9","3","12348","6649","0.294197","0.675","0.1567","0.185"
"mlp","accidental_success","1.0","3","12348","6147","0.497202","0.0","0.314","0.025"
"mlp","flailing","0.25","3","12348","12578","0.14817","0.81","0.0958","0.005"
"mlp","flailing","0.5","3","12348","12731","0.135397","0.98","0.0458","0.01"
"mlp","flailing","0.75","3","12348","13436","0.140165","0.98","0.0469","0.005"
"mlp","flailing","0.9","3","12348","13394","0.134156","0.955","0.056","0.01"
"mlp","flailing","1.0","3","12348","13733","0.127763","0.97","0.0499","0.005"
"mlp","truncation","0.25","3","12348","11310","0.127313","0.97","0.0501","0.005"
"mlp","truncation","0.5","3","12348","10187","0.132532","0.97","0.0503","0.0"
"mlp","truncation","0.75","3","12348","9328","0.139488","0.985","0.0431","0.0"
"mlp","truncation","0.9","3","12348","8578","0.149297","0.93","0.0645","0.025"
"mlp","truncation","1.0","3","12348","8456","0.165605","0.915","0.0686","0.02"
"mlp","inconsistent_strategy","0.25","3","12348","13793","0.163387","0.98","0.0461","0.0"
"mlp","inconsistent_strategy","0.5","3","12348","15252","0.211218","0.875","0.0646","0.0"
"mlp","inconsistent_strategy","0.75","3","12348","17335","0.263588","0.38","0.1003","0.0"
"mlp","inconsistent_strategy","0.9","3","12348","18110","0.286664","0.425","0.0907","0.0"
"mlp","inconsistent_strategy","1.0","3","12348","18462","0.331386","0.275","0.1095","0.0"
"mlp","clean","0.0","4","12349","12094","0.120049","0.97","0.0488","0.01"
"mlp","occlusion","0.25","4","12349","12086","0.13895","0.955","0.0544","0.01"
"mlp","occlusion","0.5","4","12349","12247","0.154261","0.88","0.083","0.035"
"mlp","occlusion","0.75","4","12349","12262","0.178975","0.84","0.092","0.015"
"mlp","occlusion","0.9","4","12349","11982","0.187418","0.895","0.0842","0.055"
"mlp","occlusion","1.0","4","12349","12140","0.188792","0.825","0.0995","0.07"
"mlp","accidental_success","0.25","4","12349","10526","0.147863","0.965","0.0505","0.01"
"mlp","accidental_success","0.5","4","12349","9116","0.177979","0.905","0.0721","0.02"
"mlp","accidental_success","0.75","4","12349","7490","0.227654","0.895","0.0599","0.02"
"mlp","accidental_success","0.9","4","12349","6692","0.297589","0.67","0.147","0.18"
"mlp","accidental_success","1.0","4","12349","6076","0.452149","0.0","0.3724","0.46"
"mlp","flailing","0.25","4","12349","12507","0.12492","0.95","0.0564","0.005"
"mlp","flailing","0.5","4","12349","12904","0.12607","0.945","0.057","0.0"
"mlp","flailing","0.75","4","12349","13141","0.13284","0.935","0.0627","0.01"
"mlp","flailing","0.9","4","12349","13301","0.131413","0.96","0.0546","0.005"
"mlp","flailing","1.0","4","12349","13768","0.131129","0.93","0.0648","0.005"
"mlp","truncation","0.25","4","12349","11204","0.123306","0.96","0.0538","0.005"
